City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,grytviken,-54.2811,-36.5092,45.45,96,95,14.56,GS,1704579924
1,yazoo city,32.8551,-90.4056,41.92,73,100,9.01,US,1704579939
2,kiunga,-6.1219,141.2906,73.99,100,100,3.29,PG,1704579939
3,melfi,40.9965,15.6514,47.5,87,100,1.77,IT,1704579940
4,tiksi,71.6872,128.8694,-29.47,98,39,7.63,RU,1704579940
5,adamstown,-25.066,-130.1015,72.63,69,94,17.18,PN,1704579940
6,whitehorse,60.7161,-135.0538,-1.43,84,40,4.61,CA,1704579941
7,general fernandez oro,-38.953,-67.9249,87.94,25,0,5.75,AR,1704579941
8,fort st. john,56.2499,-120.8529,-4.11,84,100,11.5,CA,1704579941
9,fort bragg,35.139,-79.006,56.75,86,100,10.36,US,1704579941
10,albany,42.6001,-73.9662,32.41,77,100,3.0,US,1704579771
11,yellowknife,62.456,-114.3525,-22.45,81,75,4.61,CA,1704579700
12,mili,6.0815,171.735,82.36,77,100,18.95,MH,1704579942
13,puerto natales,-51.7236,-72.4875,57.65,47,100,21.85,CL,1704579932
14,nemuro,43.3236,145.575,30.76,86,50,9.93,JP,1704579943
15,port-aux-francais,-49.35,70.2167,41.25,78,90,26.11,TF,1704579924
16,west island,-12.1568,96.8225,80.58,89,75,10.36,CC,1704579928
17,ilulissat,69.2167,-51.1,17.62,73,100,5.75,GL,1704579927
18,altar,30.7,-111.8167,60.67,23,25,2.98,MX,1704579944
19,lebu,-37.6167,-73.65,63.34,81,15,5.79,CL,1704579944
20,usogorsk,63.4106,48.6872,-28.34,100,90,2.35,RU,1704579945
21,nabire,-3.3667,135.4833,76.53,90,100,3.44,ID,1704579945
22,puerto ayora,-0.7393,-90.3518,84.16,94,97,7.0,EC,1704579945
23,rongelap,11.1635,166.8941,80.11,64,86,19.86,MH,1704579945
24,papatowai,-46.5619,169.4708,61.07,68,100,8.23,NZ,1704579946
25,puerto leguizamo,-0.1934,-74.7819,87.28,52,24,3.83,CO,1704579946
26,port mathurin,-19.6833,63.4167,81.93,78,43,4.81,MU,1704579931
27,williams lake,52.1415,-122.1445,32.05,78,40,16.11,CA,1704579947
28,avarua,-21.2078,-159.775,84.25,74,75,19.57,CK,1704579936
29,bredasdorp,-34.5322,20.0403,65.34,77,77,5.01,ZA,1704579947
30,santana,-0.0583,-51.1817,73.36,97,100,8.5,BR,1704579948
31,khandyga,62.6667,135.6,-50.69,100,100,0.72,RU,1704579948
32,ancud,-41.8697,-73.8203,57.58,74,93,5.75,CL,1704579948
33,edinburgh of the seven seas,-37.0676,-12.3116,60.58,73,100,10.07,SH,1704579949
34,bilibino,68.0546,166.4372,-25.1,99,100,3.0,RU,1704579949
35,margaret river,-33.95,115.0667,58.48,90,100,11.25,AU,1704579786
